channelN,session,sessionName,channelNames,cortexFlag,site,sitelabel,laminarFlag,depth,monkeyFlag,monkeyName,fixation_power_canceled,fixation_power_nostop,stopSignal_power_canceled,stopSignal_power_nostop,ssrt_power_canceled,ssrt_power_nostop,laminar,upper_lower
6,14,eulsef20120910c-01,AD22,1,1,p1,1,1,0,Euler,0.0806089194589595,0.251768997071535,0.827149129200734,0.995219702645662,0.195845712169783,0.221187716115363,L2,Upper
7,14,eulsef20120910c-01,AD23,1,1,p1,1,2,0,Euler,0.0923534371247027,0.0662276870691975,0.691153801710717,0.53958557356974,0.194046499872656,0.437767328202714,L2,Upper
8,14,eulsef20120910c-01,AD24,1,1,p1,1,3,0,Euler,0.0522330079608869,0.318178008882795,0.637617575996433,0.474792650613427,0.253035696146385,0.4466418434577,L2,Upper
9,14,eulsef20120910c-01,AD25,1,1,p1,1,4,0,Euler,0.0337529399000511,0.283152294680801,0.193721480763934,0.1273911464564,0.284530457968236,0.622699008841471,L2,Upper
10,14,eulsef20120910c-01,AD26,1,1,p1,1,5,0,Euler,0.147316920022213,0.445028674424131,0.384389118345825,0.0718578477271285,0.372288589711032,0.224020040979261,L3,Upper
11,14,eulsef20120910c-01,AD27,1,1,p1,1,6,0,Euler,0.314258474984745,0.85322532871257,0.782440048177361,0.275549057918488,0.605511693367846,0.304440880668471,L3,Upper
12,14,eulsef20120910c-01,AD28,1,1,p1,1,7,0,Euler,0.0815063120666772,0.993969678317503,0.74367662645071,0.232811190403513,0.68406772793382,0.296511812159806,L3,Upper
13,14,eulsef20120910c-01,AD29,1,1,p1,1,8,0,Euler,0.222996715044765,0.824719179706369,0.735812085281077,0.556279642912094,0.476849566057496,0.909612980739218,L3,Upper
14,14,eulsef20120910c-01,AD30,1,1,p1,1,9,0,Euler,0.158038558953223,0.858053013512432,1.15692548530202,0.35207005309729,0.351310718943902,0.451931395354474,L5,Lower
15,14,eulsef20120910c-01,AD31,1,1,p1,1,10,0,Euler,0.0881893588512021,0.640382200269836,0.880744876525593,0.436293051208587,0.356796663140975,0.975731475646575,L5,Lower
16,14,eulsef20120910c-01,AD32,1,1,p1,1,11,0,Euler,0.0490401870891918,0.504518041273514,0.977721667988959,0.661127451164716,0.328226639099293,0.61061510698042,L5,Lower
17,14,eulsef20120910c-01,AD33,1,1,p1,1,12,0,Euler,0.112653443337232,0.248078206037945,0.625137035668697,0.666857417592956,0.0617646135287364,0.471413430160083,L5,Lower
18,14,eulsef20120910c-01,AD34,1,1,p1,1,13,0,Euler,0.0842625803680067,0.197558166705873,0.355662252239805,0.820823015304871,0.096809731292194,0.291022077194396,L6,Lower
19,14,eulsef20120910c-01,AD35,1,1,p1,1,14,0,Euler,0.139462549439366,0.190786650756681,0.192359285096958,0.123950505088268,0.0938101025239486,0.486536260536092,L6,Lower
20,14,eulsef20120910c-01,AD36,1,1,p1,1,15,0,Euler,0.143412643609315,0.157420592837356,0.293494651336372,0.174393073012022,0.111410153990502,0.535213201806424,L6,Lower
21,14,eulsef20120910c-01,AD37,1,1,p1,1,16,0,Euler,0.111641525369493,0.263097022236049,0.362937298520558,0.128817537540183,0.189235509478115,0.526324684670628,L6,Lower
22,14,eulsef20120910c-01,AD38,1,1,p1,1,17,0,Euler,0.0443032879582965,0.0851803743667819,0.370823342940356,0.359020236823676,0.132000544940829,0.467012348342726,L6,Lower
6,15,eulsef20120911c-01,AD22,1,1,p1,1,1,0,Euler,0.347605010850455,0.81643855576228,0.0415050870784674,1.04204257001843,0.131293915482177,0.467460554648059,L2,Upper
